InventoryID,Glottocode,ISO6393,LanguageName,SpecificDialect,GlyphID,Phoneme,Allophones,Marginal,SegmentClass,Source,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,lenis,raisedLarynxEjective,loweredLarynxImplosive,click
160,stan1293,eng,English,NA,62,b,bⁿ p͉ b̚ b b,NA,consonant,spa,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,-,-,+,-,-,-,-,-,-,-,-
160,stan1293,eng,English,NA,64,d,t͉ dˡ d̪ dⁿ ɖ d dz d̚ d,NA,consonant,spa,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,-,-,+,-,-,-,-,-,-,-,-
160,stan1293,eng,English,NA,0064+0320+0292,d̠ʒ,d̠ʒ t̠ʃ͉ d̠ʒ,NA,consonant,spa,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,-,-,+,-,-,-,-,-,-,-,-
160,stan1293,eng,English,NA,66,f,f,NA,consonant,spa,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,-,+,-,0,0,0,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
160,stan1293,eng,English,NA,68,h,h ç ɦ,NA,consonant,spa,0,-,-,-,-,-,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,-,0,0,0,0,0,-,-,-,-,+,-,-,-,-,-,-
160,stan1293,eng,English,NA,006A,j,j̥ j,NA,consonant,spa,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,-,-,+,-,-,-,-,-,-,-,-
160,stan1293,eng,English,NA,006B+02B0,kʰ,kⁿ k ˀk kʰ k̚,NA,consonant,spa,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,-,-,-,-,+,-,-,-,-,-,-
160,stan1293,eng,English,NA,006C,l,ɭ l̩ˠ lˠ l̥ l l̪ˠ,NA,consonant,spa,0,-,-,-,-,+,+,+,0,+,-,-,-,+,-,0,0,+,+,-,-,-,0,0,0,0,0,-,-,+,-,-,-,-,-,-,-,-
160,stan1293,eng,English,NA,006D,m,ɱ m̩ m,NA,consonant,spa,0,-,-,-,-,+,+,-,0,-,-,-,+,-,+,-,-,-,0,0,0,-,0,0,0,0,0,-,-,+,-,-,-,-,-,-,-,-
160,stan1293,eng,English,NA,006E,n,n̩ n̪ ɳ n,NA,consonant,spa,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,+,-,-,-,0,0,0,0,0,-,-,+,-,-,-,-,-,-,-,-
160,stan1293,eng,English,NA,0070+02B0,pʰ,pʰ p̚ p ˀp pⁿ,NA,consonant,spa,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,-,-,-,-,+,-,-,-,-,-,-
160,stan1293,eng,English,NA,73,s,s,NA,consonant,spa,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
160,stan1293,eng,English,NA,0074+02B0,tʰ,ts tˡ ˀt t̚ tʰ tʰ ʈ tⁿ t̪ t,NA,consonant,spa,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,-,-,-,-,+,-,-,-,-,-,-
160,stan1293,eng,English,NA,0074+0320+0283,t̠ʃ,t̠ʃ ˀt̠ʃ,NA,consonant,spa,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
